ID,MonthlyIncome
871,5561.66725440201
872,2790.36259047438
873,13512.7035342294
874,2726.66621774084
875,2841.65071440759
876,4416.57333845835
877,5655.1506483187
878,2454.87418945675
879,3041.30666940646
880,14046.1749759061
881,9570.92501976847
882,2841.65071440759
883,5456.67824615254
884,5336.62006382612
885,5816.55525615524
886,5269.07328901838
887,5992.17981297518
888,5640.0029802547
889,4281.21236477137
890,2792.94135998853
891,4323.21480779246
892,8268.2282805308
893,8268.2282805308
894,5456.67824615254
895,9786.01513027966
896,8696.80330401468
897,8481.30530911337
898,14347.7443123457
899,5816.55525615524
900,2853.13750355369
901,2788.00815064923
902,5887.45332409159
903,6272.27364228643
904,2889.4146565777
905,14752.8886443451
906,5195.88951906094
907,9382.30589290719
908,5734.8030817669
909,2454.87418945675
910,2346.99848364305
911,23014.632423554
912,2846.67884097174
913,2841.65071440759
914,9450.73970669276
915,5734.8030817669
916,3927.96127556113
917,2627.35501133011
918,5336.62006382612
919,2178.70724522625
920,3041.69587686405
921,2521.9724197973
922,2293.42290506788
923,4224.52759676678
924,4288.78770733859
925,15395.5387018135
926,2971.88192730562
927,5816.55525615524
928,10772.3453837048
929,2293.42290506788
930,2889.4146565777
931,6126.20735177825
932,9854.02879597201
933,8379.17147859384
934,2567.37965734697
935,2293.42290506788
936,2654.76205037908
937,9128.58644468638
938,9162.93379383276
939,4724.48607705052
940,2178.70724522625
941,3130.09403502358
942,8481.30530911337
943,9570.92501976847
944,5269.07328901838
945,1882.16382666978
946,5553.7420736225
947,2178.70724522625
948,2627.35501133011
949,2894.52729850653
950,5655.1506483187
951,3041.30666940646
952,5655.1506483187
953,5755.74491869409
954,2788.00815064923
955,4224.52759676678
956,6096.50802740751
957,10067.023975426
958,2971.88192730562
959,9218.32951294803
960,24477.1713201187
961,2853.13750355369
962,4323.21480779246
963,6121.512256072
964,4389.53774249843
965,2512.22135588592
966,23465.6026194556
967,2790.36259047438
968,8379.17147859384
969,15159.38267786
970,2726.66621774084
971,5561.66725440201
972,5920.02060455671
973,2726.66621774084
974,2346.99848364305
975,5411.78601446241
976,2716.77870352848
977,6428.75924107432
978,2853.13750355369
979,9095.37278226721
980,20915.2657336242
981,2648.55362879073
982,8825.24787496013
983,2788.00815064923
984,2590.2799831546
985,5655.1506483187
986,2956.9129193829
987,2346.99848364305
988,5561.66725440201
989,9348.16909171363
990,2627.35501133011
991,4434.75931383687
992,2790.36259047438
993,4389.53774249843
994,5336.62006382612
995,5456.67824615254
996,4653.04568038801
997,2627.35501133011
998,16289.0775781032
999,8576.01074383287
1000,2293.42290506788
1001,4554.87466499073
1002,3731.48697133984
1003,4381.22376211939
1004,6448.17227216483
1005,3041.30666940646
1006,5739.54200448987
1007,2332.08283167906
1008,5920.02060455671
1009,21252.6105764666
1010,4205.49390751419
1011,9095.37278226721
1012,4484.14525840175
1013,6014.52539899402
1014,4333.39611816497
1015,5739.54200448987
1016,2889.4146565777
1017,2971.88192730562
1018,8379.17147859384
1019,8576.01074383287
1020,2027.54897742265
1021,5739.54200448987
1022,5561.66725440201
1023,4189.23360286171
1024,9597.94405313892
1025,14347.7443123457
1026,20668.9706586972
1027,4232.00263911542
1028,5336.62006382612
1029,5195.88951906094
1030,6916.33020741561
1031,5195.88951906094
1032,2977.14049000948
1033,9723.55796467046
1034,2346.99848364305
1035,4333.39611816497
1036,2346.99848364305
1037,5456.67824615254
1038,6561.62869613791
1039,9723.55796467046
1040,5992.17981297518
1041,2788.00815064923
1042,2853.13750355369
1043,8379.17147859384
1044,6272.27364228643
1045,2790.36259047438
1046,2293.42290506788
1047,5640.0029802547
1048,9265.76959695293
1049,2956.9129193829
1050,5561.66725440201
1051,9955.85318630243
1052,2889.4146565777
1053,5755.74491869409
1054,2853.13750355369
1055,2853.13750355369
1056,2788.00815064923
1057,5533.53520857124
1058,14434.8766810403
1059,4657.34588581274
1060,2853.13750355369
1061,4530.34148829892
1062,5820.38308476626
1063,6235.18081633197
1064,2438.96084248045
1065,6059.09073923265
1066,2726.66621774084
1067,3324.73210084422
1068,21926.5111892094
1069,5336.62006382612
1070,2521.9724197973
1071,2590.2799831546
1072,6099.23960270995
1073,2332.08283167906
1074,5920.02060455671
1075,5456.67824615254
1076,14896.5368208404
1077,21252.6105764666
1078,4281.21236477137
1079,4381.22376211939
1080,4757.7254589722
1081,2956.9129193829
1082,2716.77870352848
1083,2178.70724522625
1084,6126.20735177825
1085,8497.19157037481
1086,9160.04317275774
1087,5456.67824615254
1088,2853.13750355369
1089,2853.13750355369
1090,5456.67824615254
1091,5561.66725440201
1092,6126.20735177825
1093,9854.02879597201
1094,5561.66725440201
1095,5553.7420736225
1096,5734.8030817669
1097,3255.40711590984
1098,2792.94135998853
1099,2889.4146565777
1100,5898.48106313201
1101,20668.9706586972
1102,5655.1506483187
1103,6014.52539899402
1104,9855.0033658094
1105,2956.9129193829
1106,2956.9129193829
1107,3001.03869195113
1108,4288.78770733859
1109,5561.66725440201
1110,5456.67824615254
1111,6235.18081633197
1112,9450.73970669276
1113,9535.05258889547
1114,6272.27364228643
1115,9597.94405313892
1116,2956.9129193829
1117,6360.61821344471
1118,4281.21236477137
1119,9546.94429518097
1120,2744.88784115567
1121,9160.04317275774
1122,14825.8449746286
1123,4381.22376211939
1124,14434.8766810403
1125,2512.22135588592
1126,2178.70724522625
1127,2788.00815064923
1128,4224.52759676678
1129,14434.8766810403
1130,2654.76205037908
1131,9723.55796467046
1132,14347.7443123457
1133,5920.02060455671
1134,2654.76205037908
1135,2971.88192730562
1136,2788.00815064923
1137,3181.09504415175
1138,5816.55525615524
1139,8969.04436873728
1140,14818.95538266
1141,5920.02060455671
1142,5816.55525615524
1143,9694.94644207562
1144,5195.88951906094
1145,4477.16492440074
1146,5655.1506483187
1147,4016.32879757924
1148,2654.76205037908
1149,2627.35501133011
1150,5992.17981297518
1151,2716.77870352848
1152,5655.1506483187
1153,4789.51873858304
1154,2293.42290506788
1155,6264.43736313073
1156,13515.8949720451
1157,2590.2799831546
1158,4614.46406666184
1159,2716.77870352848
1160,5640.0029802547
1161,2853.13750355369
1162,8497.19157037481
1163,3008.10623490726
1164,8696.80330401468
